Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Pressure(in), '\'(-inf-29.815]\'');(Sunrise_Sunset, Night);0.029;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Traffic_Signal, False);0.024;;
U;0;(Street, Interstate);(Humidity(%), '\'(82.5-93.5]\'');(Sunrise_Sunset, Day);0.023;;
U;0;(Street, Interstate);(Temperature(F), '\'(36.95-46.1]\'');(Sunrise_Sunset, Day);0.018;;
U;0;(Street, Interstate);(Humidity(%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');0.018;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Humidity(%), '\'(93.5-inf)\'');(Sunrise_Sunset, Night);0.018;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Wind_Direction, SE);(Traffic_Signal, False);0.017;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, Calm);(Junction, True);0.017;;
U;0;(Street, Interstate);(Humidity(%), '\'(93.5-inf)\'');(Sunrise_Sunset, Night);0.016;;
U;0;(Street, Highway);(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Fair);0.016;;
U;0;(Street, Interstate);(Weather_Condition, Fair);(Sunrise_Sunset, Night);0.016;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Fair);0.016;;
U;0;(Street, Highway);(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, Calm);0.016;;
U;0;(Visibility(mi), '\'(9.5-10.25]\'');(Wind_Direction, SW);(Junction, True);0.016;;
U;0;(Street, Interstate);(Pressure(in), '\'(30.055-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');0.015;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Humidity(%), '\'(82.5-93.5]\'');(Sunrise_Sunset, Night);0.015;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Clear);(Sunrise_Sunset, Day);0.015;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Pressure(in), '\'(-inf-29.815]\'');(Visibility(mi), '\'(-inf-9.5]\'');0.014;;
U;0;(Street, Highway);(Pressure(in), '\'(30.055-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');0.014;;
U;0;(Street, Interstate);(Pressure(in), '\'(30.055-inf)\'');(Junction, True);0.014;;
U;0;(Street, Interstate);(Temperature(F), '\'(36.95-46.1]\'');(Pressure(in), '\'(30.055-inf)\'');0.014;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Clear);(Traffic_Signal, False);0.014;;
U;0;(Wind_Direction, SE);(Weather_Condition, Cloudy);(Traffic_Signal, False);0.014;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Humidity(%), '\'(68.5-82.5]\'');(Pressure(in), '\'(30.055-inf)\'');0.013;;
U;0;(Street, Interstate);(Temperature(F), '\'(56.9-67.05]\'');(Sunrise_Sunset, Night);0.013;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.013;;
U;0;(Street, Interstate);(Humidity(%), '\'(93.5-inf)\'');(Visibility(mi), '\'(9.5-10.25]\'');0.012;;
U;0;(Weather_Condition, Clear);(Traffic_Signal, True);(Sunrise_Sunset, Day);0.012;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Wind_Direction, SE);(Traffic_Signal, False);0.012;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, Drizzle);(Traffic_Signal, False);0.012;;
U;0;(Street, Interstate);(Humidity(%), '\'(55.5-68.5]\'');(Pressure(in), '\'(30.055-inf)\'');0.012;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Crossing, True);(Traffic_Signal, False);0.012;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Traffic_Signal, False);0.012;;
U;0;(Visibility(mi), '\'(9.5-10.25]\'');(Wind_Direction, SE);(Weather_Condition, Cloudy);0.012;;
U;0;(Street, Highway);(Temperature(F), '\'(46.1-56.9]\'');(Pressure(in), '\'(29.815-30.055]\'');0.012;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Pressure(in), '\'(30.055-inf)\'');(Junction, True);0.012;;
U;0;(Street, Highway);(Humidity(%), '\'(82.5-93.5]\'');(Pressure(in), '\'(30.055-inf)\'');0.012;;
U;0;(Street, Highway);(Pressure(in), '\'(29.815-30.055]\'');(Junction, True);0.011;;
