Class,Distance(mi),Street,Temperature(F),'Humidity(\%)',Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1,'\'(0.5895-inf)\'',Interstate,'\'(56.5-66.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Fog,False,False,False,False,False,False,False,False,Night
1,'\'(-inf-0.1775]\'',Highway,'\'(56.5-66.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NE,Cloudy,False,False,True,False,False,False,False,False,Day
1,'\'(-inf-0.1775]\'',Interstate,'\'(46.2-56.5]\'','\'(84.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',W,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(66.1-75.95]\'','\'(-inf-46.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',NW,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Highway,'\'(66.1-75.95]\'','\'(70.5-84.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',S,'Mostly Cloudy',False,False,True,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(66.1-75.95]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',SW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',NW,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(56.5-66.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(56.5-66.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Fog,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(56.5-66.1]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Highway,'\'(66.1-75.95]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NW,Drizzle,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',large_local,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',E,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Beltway,'\'(66.1-75.95]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',NE,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Highway,'\'(56.5-66.1]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Variable,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Variable,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Highway,'\'(66.1-75.95]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Highway,'\'(66.1-75.95]\'','\'(70.5-84.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',NW,'Partly Cloudy',False,False,True,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Highway,'\'(75.95-inf)\'','\'(46.5-58.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,'Mostly Cloudy',False,False,True,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(66.1-75.95]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',N,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(46.5-58.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',NW,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(70.5-84.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(46.5-58.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',S,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',S,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(46.5-58.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',S,Fair,False,False,False,False,False,False,False,False,Day
